timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
119304, 1, 0.50, 0.50, -0.51, -0.11, -0.28, 0.01, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 0.00, 0.49, 1.00, 2.86, 0.00000, 0.00000
119402, 1, 0.50, 0.50, -0.42, 0.37, 1.66, 0.01, 1.32, 52.80, 0.01, 52.00, 52.00, 0.54, 52.00, 48.00, 0.49, 52.00, 50.00, 0.47, 52.00, 48.00, 0.49, 57.30, 0.49, 1.00, 2.95, -0.00000, 0.00000
119419, 1, 0.50, 0.50, -0.47, 0.56, 3.33, 0.02, 1.32, 52.80, 0.01, 52.00, 46.00, 0.47, 52.00, 42.00, 0.44, 52.00, 46.00, 0.47, 52.00, 48.00, 0.51, 57.30, 0.48, 1.00, 2.95, -0.00000, 0.00000
119427, 1, 0.50, 0.50, -0.42, 0.67, 4.54, 0.03, 1.32, 52.80, 0.01, 52.00, 56.00, 0.58, 52.00, 60.00, 0.60, 52.00, 52.00, 0.53, 52.00, 46.00, 0.47, 55.64, 0.47, 1.00, 2.95, -0.00000, 0.00000
119444, 1, 0.50, 0.50, -0.48, 0.92, 5.73, 0.04, 1.32, 52.80, 0.01, 52.00, 48.00, 0.49, 52.00, 44.00, 0.46, 52.00, 50.00, 0.51, 52.00, 50.00, 0.51, 53.96, 0.46, 1.00, 2.98, -0.00001, 0.00001
119452, 1, 0.50, 0.50, -0.54, 0.91, 6.61, 0.06, 1.32, 52.80, 0.01, 52.00, 58.00, 0.60, 52.00, 82.00, 0.82, 52.00, 40.00, 0.40, 52.00, 58.00, 0.60, 52.76, 0.44, 1.00, 3.00, -0.00001, 0.00000
119464, 1, 0.50, 0.50, -0.54, 1.06, 7.34, 0.07, 1.32, 52.80, 0.01, 52.00, 50.00, 0.53, 52.00, 52.00, 0.53, 52.00, 42.00, 0.42, 52.00, 54.00, 0.54, 51.56, 0.43, 1.00, 3.03, -0.00000, -0.00000
119481, 1, 0.50, 0.50, -0.48, 1.04, 8.36, 0.09, 1.32, 52.80, 0.01, 54.00, 46.00, 0.47, 54.00, 40.00, 0.40, 54.00, 50.00, 0.51, 54.00, 58.00, 0.58, 50.69, 0.41, 1.00, 3.07, 0.00002, 0.00004
119490, 1, 0.50, 0.50, -0.58, 1.10, 9.59, 0.11, 1.32, 52.80, 0.01, 54.00, 42.00, 0.44, 54.00, 62.00, 0.63, 54.00, 54.00, 0.54, 54.00, 58.00, 0.63, 49.95, 0.39, 1.00, 3.10, 0.00004, 0.00012
119504, 1, 0.50, 0.50, -0.63, 1.24, 10.94, 0.12, 1.32, 52.80, 0.01, 54.00, 48.00, 0.49, 54.00, 44.00, 0.44, 54.00, 46.00, 0.47, 54.00, 54.00, 0.56, 48.94, 0.38, 1.00, 3.11, 0.00006, 0.00016
119521, 1, 0.50, 0.50, -0.60, 1.20, 12.66, 0.14, 1.32, 52.80, 0.01, 54.00, 56.00, 0.58, 54.00, 46.00, 0.47, 54.00, 44.00, 0.46, 54.00, 52.00, 0.53, 47.71, 0.36, 1.00, 3.12, 0.00006, 0.00019
119530, 1, 0.50, 0.50, -0.69, 1.22, 14.31, 0.16, 1.32, 52.80, 0.01, 54.00, 56.00, 0.56, 54.00, 42.00, 0.42, 54.00, 36.00, 0.37, 54.00, 60.00, 0.61, 46.36, 0.34, 1.00, 3.10, 0.00005, 0.00015
119547, 1, 0.50, 0.50, -0.66, 1.23, 15.78, 0.18, 1.32, 52.80, 0.01, 54.00, 50.00, 0.53, 54.00, 56.00, 0.58, 54.00, 48.00, 0.49, 54.00, 52.00, 0.53, 44.64, 0.32, 1.00, 3.09, 0.00003, 0.00011
119557, 1, 0.50, 0.50, -0.72, 1.16, 17.38, 0.20, 1.32, 52.80, 0.01, 54.00, 42.00, 0.42, 54.00, 42.00, 0.44, 54.00, 42.00, 0.44, 54.00, 50.00, 0.51, 42.99, 0.30, 1.00, 3.08, 0.00002, 0.00009
119570, 1, 0.50, 0.50, -0.65, 1.24, 19.08, 0.22, 1.32, 52.80, 0.01, 54.00, 40.00, 0.40, 54.00, 36.00, 0.37, 54.00, 52.00, 0.53, 54.00, 44.00, 0.46, 41.51, 0.28, 1.00, 3.07, -0.00000, -0.00002
119587, 1, 0.50, 0.50, -0.75, 1.36, 21.09, 0.24, 1.32, 52.80, 0.01, 54.00, 56.00, 0.56, 54.00, 60.00, 0.61, 54.00, 52.00, 0.53, 54.00, 48.00, 0.49, 39.92, 0.26, 1.00, 3.04, -0.00005, -0.00028
119597, 1, 0.50, 0.50, -0.73, 1.29, 22.74, 0.26, 1.32, 52.80, 0.01, 52.00, 42.00, 0.42, 52.00, 46.00, 0.46, 52.00, 56.00, 0.58, 52.00, 58.00, 0.60, 38.22, 0.24, 1.00, 3.00, -0.00013, -0.00088
119610, 1, 0.50, 0.50, -0.60, 1.21, 24.42, 0.27, 1.32, 52.80, 0.01, 52.00, 44.00, 0.44, 52.00, 38.00, 0.39, 52.00, 48.00, 0.47, 52.00, 52.00, 0.53, 36.20, 0.23, 1.00, 2.97, -0.00019, -0.00140
119628, 1, 0.50, 0.50, -0.58, 1.17, 26.19, 0.29, 1.32, 52.80, 0.01, 52.00, 48.00, 0.47, 52.00, 34.00, 0.35, 52.00, 50.00, 0.51, 52.00, 44.00, 0.53, 34.56, 0.21, 1.00, 2.94, -0.00026, -0.00215
